Time,Pitch(Deg),Roll(Deg),Yaw(Deg),AngVelX(PitchSpeed),AngVelZ(RollSpeed),AngVelY(YawSpeed),VerticalVelocity,Altitude
0.000,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.478
0.020,0.00,0.00,0.00,0.000,0.000,0.000,-0.187,7.474
0.040,0.00,0.00,0.00,0.000,0.000,0.000,-0.356,7.467
0.060,0.00,0.00,0.00,0.000,0.000,0.000,-0.505,7.457
0.080,0.00,0.00,0.00,0.000,0.000,0.000,-0.631,7.444
0.100,0.00,0.00,0.00,0.000,0.000,0.000,-0.734,7.430
0.120,0.00,0.00,0.00,0.000,0.000,0.000,-0.814,7.413
0.140,0.00,0.00,0.00,0.000,0.000,0.000,-0.869,7.396
0.160,0.00,0.00,0.00,0.000,0.000,0.000,-0.900,7.378
0.180,0.00,0.00,0.00,0.000,0.000,0.000,-0.906,7.360
0.200,0.00,0.00,0.00,0.000,0.000,0.000,-0.889,7.342
0.220,0.00,0.00,0.00,0.000,0.000,0.000,-0.848,7.325
0.240,0.00,0.00,0.00,0.000,0.000,0.000,-0.784,7.310
0.260,0.00,0.00,0.00,0.000,0.000,0.000,-0.696,7.296
0.280,0.00,0.00,0.00,0.000,0.000,0.000,-0.594,7.284
0.300,0.00,0.00,0.00,0.000,0.000,0.000,-0.482,7.274
0.320,0.00,0.00,0.00,0.000,0.000,0.000,-0.366,7.267
0.340,0.00,0.00,0.00,0.000,0.000,0.000,-0.247,7.262
0.360,0.00,0.00,0.00,0.000,0.000,0.000,-0.128,7.259
0.380,0.00,0.00,0.00,0.000,0.000,0.000,-0.018,7.259
0.400,0.00,0.00,0.00,0.000,0.000,0.000,0.076,7.260
0.420,0.00,0.00,0.00,0.000,0.000,0.000,0.151,7.263
0.440,0.00,0.00,0.00,0.000,0.000,0.000,0.204,7.268
0.460,0.00,0.00,0.00,0.000,0.000,0.000,0.235,7.272
0.480,0.00,0.00,0.00,0.000,0.000,0.000,0.243,7.277
0.500,0.00,0.00,0.00,0.000,0.000,0.000,0.227,7.282
0.520,0.00,0.00,0.00,0.000,0.000,0.000,0.188,7.285
0.540,0.00,0.00,0.00,0.000,0.000,0.000,0.126,7.288
0.560,0.00,0.00,0.00,0.000,0.000,0.000,0.058,7.289
0.580,0.00,0.00,0.00,0.000,0.000,0.000,-0.003,7.289
0.600,0.00,0.00,0.00,0.000,0.000,0.000,-0.050,7.288
0.620,0.00,0.00,0.00,0.000,0.000,0.000,-0.080,7.286
0.640,0.00,0.00,0.00,0.000,0.000,0.000,-0.088,7.285
0.660,0.00,0.00,0.00,0.000,0.000,0.000,-0.076,7.283
0.680,0.00,0.00,0.00,0.000,0.000,0.000,-0.050,7.282
0.700,0.00,0.00,0.00,0.000,0.000,0.000,-0.022,7.282
0.720,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.282
0.740,0.00,0.00,0.00,0.000,0.000,0.000,0.013,7.282
0.760,0.00,0.00,0.00,0.000,0.000,0.000,0.017,7.282
0.780,0.00,0.00,0.00,0.000,0.000,0.000,0.016,7.283
0.800,0.00,0.00,0.00,0.000,0.000,0.000,0.011,7.283
0.820,0.00,0.00,0.00,0.000,0.000,0.000,0.006,7.283
0.840,0.00,0.00,0.00,0.000,0.000,0.000,0.001,7.283
0.860,0.00,0.00,0.00,0.000,0.000,0.000,-0.002,7.283
0.880,0.00,0.00,0.00,0.000,0.000,0.000,-0.003,7.283
0.900,0.00,0.00,0.00,0.000,0.000,0.000,-0.003,7.283
0.920,0.00,0.00,0.00,0.000,0.000,0.000,-0.002,7.283
0.940,0.00,0.00,0.00,0.000,0.000,0.000,-0.001,7.283
0.960,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
0.980,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.000,0.00,0.00,0.00,0.000,0.000,0.000,0.001,7.283
1.020,0.00,0.00,0.00,0.000,0.000,0.000,0.001,7.283
1.040,0.00,0.00,0.00,0.000,0.000,0.000,0.001,7.283
1.060,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.080,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.100,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.120,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.140,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.160,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.180,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.200,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.220,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.240,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.260,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.280,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.300,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.320,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.340,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.360,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.380,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.400,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.420,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.440,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.460,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
1.480,0.00,0.00,0.00,0.000,0.000,0.000,0.000,7.283
